,month,mean_sunshine_hrs,total_rainfall
211,1999-08,5.7,204.0
212,1999-09,6.5,125.9
213,1999-10,4.7,205.0
214,1999-11,4.7,241.5
215,1999-12,4.1,340.5
216,2000-01,4.0,275.2
217,2000-02,5.8,237.8
218,2000-03,5.8,238.3
219,2000-04,5.3,311.6
220,2000-05,6.8,96.8
221,2000-06,4.6,157.5
222,2000-07,6.5,116.1
223,2000-08,5.1,113.5
224,2000-09,6.2,81.1
225,2000-10,4.0,120.9
226,2000-11,3.7,385.7
227,2000-12,4.2,236.0
228,2001-01,4.4,425.8
229,2001-02,4.8,86.6
230,2001-03,5.4,297.3
231,2001-04,5.3,203.3
232,2001-05,6.0,164.9
233,2001-06,4.9,137.1
234,2001-07,8.1,111.3
235,2001-08,4.9,158.3
236,2001-09,6.2,162.0
237,2001-10,4.4,252.2
238,2001-11,3.7,175.3
239,2001-12,4.5,609.0
240,2002-01,6.9,221.2
241,2002-02,7.4,50.8
242,2002-03,7.6,55.6
243,2002-04,6.6,116.5
244,2002-05,6.2,236.6
245,2002-06,6.3,83.1
246,2002-07,6.8,233.7
247,2002-08,6.7,54.2
248,2002-09,5.5,124.2
249,2002-10,6.2,10.8
250,2002-11,4.6,307.2
251,2002-12,4.8,255.0
252,2003-01,4.7,444.2
253,2003-02,5.8,172.9
254,2003-03,6.9,154.6
255,2003-04,5.1,159.9
256,2003-05,5.8,81.8
257,2003-06,7.0,50.3
258,2003-07,5.6,170.4
259,2003-08,6.1,193.6
260,2003-09,5.0,205.3
261,2003-10,5.1,351.4
262,2003-11,4.2,133.8
263,2003-12,3.9,273.0
264,2004-01,6.7,600.9
265,2004-02,7.7,31.9
266,2004-03,4.8,269.4
267,2004-04,7.0,57.1
268,2004-05,6.0,137.6
269,2004-06,6.3,127.2
270,2004-07,4.2,166.6
271,2004-08,7.3,185.2
272,2004-09,5.9,128.9
273,2004-10,5.0,125.6
274,2004-11,5.8,166.2
275,2004-12,4.9,139.8
276,2005-01,6.5,163.2
277,2005-02,9.1,8.4
278,2005-03,7.2,82.4
279,2005-04,7.0,81.7
280,2005-05,5.5,331.1
281,2005-06,5.4,82.3
282,2005-07,5.4,104.0
283,2005-08,6.5,58.5
284,2005-09,6.2,175.7
285,2005-10,5.1,314.5
286,2005-11,4.4,362.9
287,2005-12,4.5,166.0
288,2006-01,4.8,454.4
289,2006-02,7.4,115.5
290,2006-03,7.1,83.1
291,2006-04,5.3,239.8
292,2006-05,5.0,205.7
293,2006-06,5.5,236.8
294,2006-07,6.9,153.8
295,2006-08,6.7,127.3
296,2006-09,5.3,83.3
297,2006-10,4.8,102.0
298,2006-11,5.6,185.6
299,2006-12,3.2,765.9
300,2007-01,4.1,450.1
301,2007-02,7.6,105.5
302,2007-03,5.8,269.1
303,2007-04,5.9,240.2
304,2007-05,5.5,127.2
305,2007-06,6.0,139.0
306,2007-07,3.8,141.7
307,2007-08,5.7,190.7
308,2007-09,5.8,149.0
309,2007-10,5.6,237.2
310,2007-11,3.5,367.9
311,2007-12,4.5,468.6
312,2008-01,6.1,262.6
313,2008-02,5.5,129.2
314,2008-03,4.3,294.1
315,2008-04,6.0,87.2
316,2008-05,6.6,124.9
317,2008-06,5.6,118.3
318,2008-07,4.9,89.1
319,2008-08,5.5,327.3
320,2008-09,5.1,164.4
321,2008-10,4.5,159.5
322,2008-11,4.0,324.3
323,2008-12,4.8,244.2
324,2009-01,6.6,38.3
325,2009-02,6.4,201.8
326,2009-03,5.5,223.3
327,2009-04,6.2,183.7
328,2009-05,6.6,198.6
329,2009-06,7.0,21.8
330,2009-07,6.2,161.0
331,2009-08,6.5,177.8
332,2009-09,5.6,109.6
333,2009-10,5.4,133.4
334,2009-11,4.7,281.8
335,2009-12,4.7,189.8
336,2010-01,7.1,69.5
337,2010-02,8.8,6.3
338,2010-03,6.1,238.0
339,2010-04,6.2,158.5
340,2010-05,6.5,157.5
341,2010-06,5.1,240.5
342,2010-07,4.6,298.5
343,2010-08,5.4,158.4
344,2010-09,5.7,121.5
345,2010-10,4.2,166.2
346,2010-11,5.0,278.8
347,2010-12,3.6,181.4
348,2011-01,4.5,513.2
349,2011-02,7.5,23.0
350,2011-03,4.6,256.6
351,2011-04,7.2,217.8
352,2011-05,5.9,127.0
353,2011-06,5.0,213.0
354,2011-07,7.8,76.6
355,2011-08,6.1,81.4
356,2011-09,5.1,136.4
357,2011-10,5.3,216.8
358,2011-11,4.6,377.8
359,2011-12,3.3,284.6
360,2012-01,6.0,106.1
361,2012-02,7.0,83.6
362,2012-03,4.2,313.4
363,2012-04,5.8,260.6
364,2012-05,5.6,292.0
365,2012-06,6.0,53.0
366,2012-07,6.2,130.8
367,2012-08,6.1,119.0
368,2012-09,5.6,107.6
369,2012-10,5.9,122.2
370,2012-11,4.4,208.2
371,2012-12,3.6,363.4
372,2013-01,6.0,262.0
373,2013-02,4.0,395.2
374,2013-03,7.5,85.8
375,2013-04,5.2,159.4
376,2013-05,5.4,211.4
377,2013-06,6.4,111.4
378,2013-07,5.7,174.6
379,2013-08,6.1,165.6
380,2013-09,4.6,257.0
381,2013-10,6.3,285.4
382,2013-11,4.5,292.4
383,2013-12,3.5,348.2
384,2014-01,5.3,75.4
385,2014-02,8.8,0.2
386,2014-03,8.0,66.0
387,2014-04,5.7,110.0
388,2014-05,5.8,125.8
389,2014-06,6.0,71.4
390,2014-07,5.5,148.6
391,2014-08,4.5,241.0
392,2014-09,7.0,83.6
393,2014-10,6.0,120.0
394,2014-11,5.4,250.8
395,2014-12,3.7,245.6
396,2015-01,7.4,79.6
397,2015-02,7.3,18.8
398,2015-03,7.3,84.4
399,2015-04,7.2,73.2
400,2015-05,5.8,89.0
401,2015-06,6.7,95.8
