,buildingaddress,buildingsize,greenmarkrating,EUI,year,postal,latitude,longtitude
412,"2 TAMPINES CENTRAL 5, SINGAPORE 529509",Large,Platinum,478.9306342105263,2019,529509,1.352368296,103.9438123
413,"182 CECIL STREET, SINGAPORE 069547",Large,Platinum,153.6,2020,69547,1.278843463,103.8472922
414,"25 SCOTTS ROAD, SINGAPORE 228220",Large,Gold,200.15,2020,228220,1.307089324,103.8314458
415,"1 GOPENG STREET, SINGAPORE 078862",Large,Platinum,221.59,2020,78862,1.275958464,103.8436985
416,"1 GOPENG STREET, SINGAPORE 078862",Large,Platinum,270.47410358565736,2019,78862,1.275958464,103.8436985
417,"3 SECOND HOSPITAL AVENUE, SINGAPORE 168937",Large,Platinum,148.4,2020,168937,1.279602207,103.8383462
418,"9 BATTERY ROAD, SINGAPORE 049910",Large,Gold,116.01,2020,49910,1.285130993,103.852345
419,"9 BATTERY ROAD, SINGAPORE 049910",Large,Gold,170.90404632372744,2019,49910,1.285130993,103.852345
420,"31 ROCHESTER DRIVE, SINGAPORE 138637",Large,Gold,153.17,2020,138637,1.305351212,103.7883474
421,"31 ROCHESTER DRIVE, SINGAPORE 138637",Large,Gold,166.83946824850378,2019,138637,1.305351212,103.7883474
422,"11 TAMPINES CONCOURSE, SINGAPORE 528729",Small,GoldPlus,147.07,2020,528729,1.356334661,103.9408934
423,"11 TAMPINES CONCOURSE, SINGAPORE 528729",Small,GoldPlus,191.94462934027777,2019,528729,1.356334661,103.9408934
424,"68 ORCHARD ROAD, SINGAPORE 238839",Large,Gold,331.67,2020,238839,1.300747553,103.8450476
425,"29 TANGLIN ROAD, SINGAPORE 247911",Large,GoldPlus,298.57,2020,247911,1.305661279,103.8260533
426,"30 VICTORIA STREET, SINGAPORE 187996",Large,Legislated,53.5,2020,187996,1.29479671,103.8525734
427,"30 VICTORIA STREET, SINGAPORE 187996",Large,Certified,68.33918029626028,2019,187996,1.29479671,103.8525734
428,"300 TAMPINES AVENUE 5, SINGAPORE 529653",Large,GoldPlus,170.33,2020,529653,1.352336016,103.9419433
429,"300 TAMPINES AVENUE 5, SINGAPORE 529653",Large,GoldPlus,202.3675764080548,2019,529653,1.352336016,103.9419433
430,"190 ORCHARD BOULEVARD, SINGAPORE 248646",Large,Certified,225.88,2020,248646,1.305174713,103.8286611
431,"36 ARMENIAN STREET, SINGAPORE 179934",Small,Certified,82.2,2020,179934,1.294021307,103.8496418
432,"36 ARMENIAN STREET, SINGAPORE 179934",Small,Certified,96.86920691408235,2019,179934,1.294021307,103.8496418
433,"1 COLEMAN STREET, SINGAPORE 179803",Large,Platinum,127.61,2020,179803,1.291185012,103.8511842
434,"1 COLEMAN STREET, SINGAPORE 179803",Large,Platinum,152.19167549443603,2019,179803,1.291185012,103.8511842
435,"138 MARKET STREET, SINGAPORE 048946",Large,Platinum,156.31,2020,48946,1.281858036,103.8500838
436,"138 MARKET STREET, SINGAPORE 048946",Large,Platinum,179.50278648342135,2019,48946,1.281858036,103.8500838
437,"90 ROBERTSON QUAY, SINGAPORE 238259",Small,Platinum,326.76,2020,238259,1.290834126,103.8372804
438,"401 MACPHERSON ROAD, SINGAPORE 368125",Small,Legislated,191.18,2020,368125,1.331770545,103.8792945
439,"401 MACPHERSON ROAD, SINGAPORE 368125",Small,Certified,232.35980427582052,2019,368125,1.331770545,103.8792945
440,"11 TANJONG KATONG ROAD, SINGAPORE 437157",Large,Gold,360.79,2020,437157,1.314618499,103.894738
441,"277 ORCHARD ROAD, SINGAPORE 238858",Large,Platinum,302.62,2020,238858,1.300489121,103.8393251
442,"277 ORCHARD ROAD, SINGAPORE 238858",Large,Platinum,369.8760243357338,2019,238858,1.300489121,103.8393251
443,"2 VENTURE DRIVE, SINGAPORE 608526",Large,GoldPlus,121.2,2020,608526,1.330151721,103.7445746
444,"2 VENTURE DRIVE, SINGAPORE 608526",Large,GoldPlus,125.908063566804,2019,608526,1.330151721,103.7445746
445,"3A INTERNATIONAL BUSINESS PARK, SINGAPORE 609935",Large,GoldPlus,96.04966646408168,2019,609935,1.327114139,103.7492534
446,"3 INTERNATIONAL BUSINESS PARK, SINGAPORE 609927",Large,GoldPlus,115.27527979420678,2019,609927,1.327024848,103.7483555
447,"1A INTERNATIONAL BUSINESS PARK, SINGAPORE 609933",Large,Gold,115.41546050984124,2019,609933,1.327837989,103.7479504
448,"2 INTERNATIONAL BUSINESS PARK, SINGAPORE 609930",Large,GoldPlus,136.47881846519223,2019,609930,1.329690469,103.7469606
449,"6001 BEACH ROAD, SINGAPORE 199589",Large,Gold,156.3823200407354,2019,199589,1.301891747,103.8641407
450,"80 ANSON ROAD, SINGAPORE 079907",Large,Platinum,157.0052004600723,2019,79907,1.273164327,103.8436502
451,"30 CECIL STREET, SINGAPORE 049712",Large,GoldPlus,159.2055453265461,2019,49712,1.282797096,103.8498877
452,"3 CLEANTECH LOOP, SINGAPORE 637143",Large,Platinum,168.1648116522126,2019,637143,1.355230533,103.6934474
453,"21 BIOPOLIS ROAD, SINGAPORE 138567",Large,Gold,177.65952483038663,2019,138567,1.292384244,103.7946858
454,"3 BIOPOLIS DRIVE, SINGAPORE 138623",Large,Gold,188.06822412509308,2019,138623,1.301596957,103.7933292
455,"138 ROBINSON ROAD, SINGAPORE 068906",Large,Certified,188.90800819526098,2019,68906,1.278706192,103.8484191
456,"16 COLLYER QUAY, SINGAPORE 049318",Large,GoldPlus,225.9915535288631,2019,49318,1.284187856,103.8525474
457,"8 WILKIE ROAD, SINGAPORE 228095",Large,Gold,274.80595062390984,2019,228095,1.302122027,103.8495113
458,"50 COLLYER QUAY, SINGAPORE 049321",Large,Gold,288.1138442521632,2019,49321,1.28316691,103.8529683
459,"3 FRASER STREET, SINGAPORE 189352",Large,Platinum,298.3607613469985,2019,189352,1.29916296,103.8578595
460,"1 CLEANTECH LOOP, SINGAPORE 637141",Large,Platinum,302.22013923611115,2019,637141,1.355398282,103.6923795
461,"2 CLEANTECH LOOP, SINGAPORE 637144",Small,Platinum,66.41025641025641,2019,637144,1.35430497,103.6923539
462,"171 CHIN SWEE ROAD, SINGAPORE 169877",Small,Certified,107.53479800865094,2019,169877,1.286746033,103.8402148
463,"420 NORTH BRIDGE ROAD, SINGAPORE 188727",Small,Gold,143.56048996071584,2019,188727,1.297199478,103.8549441
464,"177A RIVER VALLEY ROAD, SINGAPORE 179031",Large,GoldPlus,241.9807254448648,2019,179031,1.291490199,103.8446689
465,"99 IRRAWADDY ROAD, SINGAPORE 329568",Large,Platinum,242.47850436947053,2019,329568,1.320571566,103.8432193
466,"1 PARK ROAD, SINGAPORE 059108",Large,Gold,254.45538017817375,2019,59108,1.28413391,103.8425196
467,"201 VICTORIA STREET, SINGAPORE 188067",Large,Platinum,469.67780230916793,2019,188067,1.299603702,103.8542423
468,"23 SERANGOON CENTRAL, SINGAPORE 556083",Large,Gold,483.66235561598137,2019,556083,1.350769352,103.8722961
469,"9 BISHAN PLACE, SINGAPORE 579837",Large,Platinum,511.10475373098745,2019,579837,1.350481979,103.8487608
470,"10 JALAN BESAR, SINGAPORE 208787",Large,GoldPlus,128.9677718250483,2019,208787,1.3037722,103.8546614
471,"60 ALBERT STREET, SINGAPORE 189969",Large,Gold,172.2037474731768,2019,189969,1.302281578,103.8538378
472,"545 ORCHARD ROAD, SINGAPORE 238882",Large,GoldPlus,228.3433276489313,2019,238882,1.305506108,103.8299848
473,"2 JURONG EAST STREET 21, SINGAPORE 609601",Large,GoldPlus,233.04568503022026,2019,609601,1.334875319,103.7468947
474,"230 VICTORIA STREET, SINGAPORE 188024",Large,Platinum,372.26583406172256,2019,188024,1.300117893,103.8561916
475,"2 ORCHARD LINK, SINGAPORE 237978",Small,Gold,328.35581208975725,2019,237978,1.301008753,103.8357274
476,"1 JURONG EAST STREET 21, SINGAPORE 609606",Uknown,Platinum,262.0864791770634,2019,609606,1.334682794,103.7442218
477,"5 HOSPITAL DRIVE, SINGAPORE 169609",Uknown,Platinum,311.8108275520317,2019,169609,1.278580597,103.8361194
478,"11 JALAN TAN TOCK SENG, SINGAPORE 308433",Uknown,Platinum,346.8673681137662,2019,308433,1.319499928,103.8499006
479,"585 NORTH BRIDGE ROAD, SINGAPORE 188770",Uknown,Certified,283.90037863564254,2019,188770,1.301181531,103.8574655
480,"820 THOMSON ROAD, SINGAPORE 574623",Uknown,Certified,327.9834629118444,2019,574623,1.341822826,103.8376012
481,"38 IRRAWADDY ROAD, SINGAPORE 329563",Uknown,Platinum,357.9344959822215,2019,329563,1.322146552,103.8442263
482,"17 ANG MO KIO AVENUE 9, SINGAPORE 569766",Uknown,Gold,194.185685347738,2019,569766,1.384032484,103.8403569
483,"10 BUANGKOK VIEW, SINGAPORE 539747",Uknown,GoldPlus,73.31923540169367,2019,539747,1.381594518,103.88521
484,"11 JALAN PENJARA, SINGAPORE 149380",Uknown,Certified,96.59636462882096,2019,149380,1.298150708,103.8080451
485,"832 THOMSON ROAD, SINGAPORE 574627",Uknown,Platinum,121.86544785644567,2019,574627,1.342441452,103.8388456
486,"1 NANYANG WALK, SINGAPORE 637616",Uknown,Platinum,78.19269836326833,2019,637616,1.348675868,103.679788
487,"461 CLEMENTI ROAD, SINGAPORE 599491",Uknown,GoldPlus,147.1547008974896,2019,599491,1.32958493,103.776237
488,"8 SOMAPAH ROAD, SINGAPORE 487372",Uknown,Platinum,190.32766196001933,2019,487372,1.340171637,103.9628601
489,"10 MEDICAL DRIVE, SINGAPORE 117597",Uknown,Platinum,296.68874937529733,2019,117597,1.295989111,103.7817842
490,"11 MANDALAY ROAD, SINGAPORE 308232",Uknown,Platinum,300.84482600178956,2019,308232,1.321619914,103.8488638
491,"50 NANYANG AVENUE, SINGAPORE 639798",Uknown,Platinum,617.7800299210879,2019,639798,1.342658164,103.6810014
492,"535 CLEMENTI ROAD, SINGAPORE 599489",Uknown,GoldPlus,81.3975637274285,2019,599489,1.331693318,103.7739072
493,"510 DOVER ROAD, SINGAPORE 139660",Uknown,Platinum,114.93716268656718,2019,139660,1.307849016,103.7778905
494,"21 TAMPINES AVENUE 1, SINGAPORE 529757",Uknown,Platinum,128.06546631820544,2019,529757,1.346390219,103.9314293
495,"500 DOVER ROAD, SINGAPORE 139651",Uknown,Platinum,129.6589220231094,2019,139651,1.310873234,103.7774398
496,"9 WOODLANDS AVENUE 9, SINGAPORE 738964",Uknown,Platinum,150.00914724176562,2019,738964,1.443763003,103.7842815
497,"80 BENCOOLEN STREET, SINGAPORE 189655",Uknown,Gold,246.8175,2019,189655,1.299463332,103.8511859
498,"151 BENCOOLEN STREET, SINGAPORE 189656",Uknown,Platinum,132.92851471476655,2019,189656,1.301284021,103.8519519
499,"10 SIMEI AVENUE, SINGAPORE 486047",Uknown,Platinum,96.98540721032938,2019,486047,1.334386913,103.9550508
500,"1 CHOA CHU KANG GROVE, SINGAPORE 688236",Uknown,Platinum,114.46449333850995,2019,688236,1.375274935,103.7524075
501,"1207 DOVER ROAD, SINGAPORE 139654",Uknown,Platinum,68.33647781484476,2019,139654,1.303020173,103.7751605
502,"1 TAMPINES STREET 73, SINGAPORE 528704",Uknown,Platinum,73.40527302631578,2019,528704,1.358091,103.9312922
503,"501 STIRLING ROAD, SINGAPORE 148951",Uknown,GoldPlus,111.61744,2019,148951,1.296766683,103.8016672
504,"11 EUNOS ROAD 8, SINGAPORE 408601",Uknown,Platinum,158.38433766666665,2019,408601,1.319698146,103.8923447
505,"1 AYER RAJAH AVENUE, SINGAPORE 138676",Uknown,Platinum,160.79987118145013,2019,138676,1.299752023,103.7864793
506,"1 MCNALLY STREET, SINGAPORE 187940",Uknown,Gold,176.8800259609748,2019,187940,1.302825025,103.8516003
507,"73 BRAS BASAH ROAD, SINGAPORE 189556",Uknown,Gold,234.0862729844413,2019,189556,1.296732462,103.8515012
508,"3 STADIUM DRIVE, SINGAPORE 397630",Uknown,GoldPlus,197.60338744230674,2019,397630,1.303093208,103.8750877
509,"48 BOON LAY WAY, SINGAPORE 609961",Uknown,GoldPlus,174.1972628174413,2019,609961,1.330862223,103.7486227
510,"28 HONG SAN TERRACE, SINGAPORE 688247",Uknown,GoldPlus,46.21983120706575,2019,688247,1.378058193,103.7454894
511,"1 ORCHARD ROAD, SINGAPORE 238824",Uknown,GoldPlus,116.771187141217,2019,238824,1.297599595,103.8481244
512,"1 ST. ANDREWS ROAD, SINGAPORE 178957",Uknown,GoldPlus,172.493605453784,2019,178957,1.290655338,103.851708
